Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column10,,,,,,,,,,,,,,,,,,,,
Boom!,Sentiment,0.879009867,Other,0.060558647,Product,0.049795449,"sentiment, other",1,Boom!,Sentiment,0.975140846,Product,0.014145718,Other,0.007600254,Comparison,0.003113182,1,Boom!,Sentiment,0.781803366,Other,0.124064183,Product,0.080194657,Comparison,0.013937794,1
"The picture quality is great, but this review is about basic safety IF you plan to use the base to mount your TV on a cabinet top or a table.",Product,0.990412099,Sentiment,0.006434279,Comparison,0.001671921,product,1,"The <Feature> is <Descriptor>, but this review is about <Descriptor> safety IF you plan to use the base to mount your TV on a cabinet top or a table.",Product,0.959083255,Sentiment,0.031971457,Other,0.005303279,Comparison,0.003642009,,"The <Feature> is <Descriptor>, but this review is about <Descriptor> safety IF you plan to use the base to mount your <Product> on a cabinet top or a table.",Product,0.951508673,Sentiment,0.038454844,Other,0.005958708,Comparison,0.004077774,1
IT IS DANGEROUS and needs to be recalled by Samsung.,Product,0.977633199,Sentiment,0.015279469,Comparison,0.004203868,product,1,IT IS DANGEROUS and needs to be recalled by Samsung.,Product,0.98111514,Sentiment,0.011365527,Other,0.004420122,Comparison,0.00309921,,IT IS DANGEROUS and needs to be recalled by <Company>.,Product,0.678739902,Sentiment,0.266564116,Other,0.039872723,Comparison,0.01482326,1
I am going to mount my (replacement TV) on the wall.,Product,0.682005952,Sentiment,0.275680149,Other,0.029718279,sentiment,1,I am going to mount my (<Descriptor> <Product>) on the wall.,Sentiment,0.662789631,Product,0.276212532,Other,0.047088055,Comparison,0.013909782,,<Consumer> am going to mount my (<Descriptor> <Product>) on the wall.,Product,0.985800845,Sentiment,0.0060056,Other,0.005874979,Comparison,0.002318576,0
"When this TV came in, I set it up on a table temporarily.",Sentiment,0.802795212,Product,0.142772646,Other,0.044597335,sentiment,1,"When this TV came in, I set it up on a table temporarily.",Other,0.512144589,Product,0.246705042,Sentiment,0.224410401,Comparison,0.016739969,,"When this <Product> came in, <Consumer> set it up on a table temporarily.",Other,0.599635443,Product,0.219544865,Sentiment,0.155828843,Comparison,0.024990849,0
"I noticed how small the base mounting screws were, but I assumed the engineering was sufficient not to worry about the screws being strong enough - WRONG!",Product,0.572449734,Sentiment,0.322310224,Other,0.087117466,"sentiment, product",1,"I noticed how small the base mounting <Feature> were, but I assumed the engineering was sufficient not to worry about the screws being <Descriptor> - WRONG!",Product,0.98963681,Sentiment,0.006980517,Other,0.001833077,Comparison,0.001549596,,"<Consumer> noticed how small the <Feature>, but <Consumer> assumed the engineering was sufficient not to worry about the <Feature> being <Descriptor> - WRONG!",Product,0.846083929,Sentiment,0.136801783,Other,0.011105884,Comparison,0.006008403,1
"These screws are only about 3/8"" long by about 1/8"" in diameter.",Sentiment,0.652519847,Product,0.223334282,Other,0.076439363,product,1,"These <Feature> are only about 3/8"" long by about <Product>.",Product,0.942634984,Sentiment,0.032390076,Other,0.015606861,Comparison,0.009368079,,"These <Feature> are only about 3/8"" long by about <Product>.",Product,0.84045791,Sentiment,0.113036158,Other,0.029065834,Comparison,0.017440098,1
"To make a long story short and to make my point to potential buyers who plan to use this TV on the supplied base, my TV fell from the table and almost onto my 2 year old grandson.",Sentiment,0.988584928,Product,0.006487163,Other,0.002794048,sentiment,1,"To make a long story short and to make my point to potential buyers who plan to use this <Product> on the supplied base, my <Product> fell from the <Feature> and almost onto my 2 year old grandson.",Sentiment,0.937823163,Product,0.053005455,Comparison,0.004924455,Other,0.004246927,,"To make a long story short and to make my point to potential buyers who plan to use this <Product> on the supplied base, my <Product> fell from the <Feature> and almost onto my 2 year old grandson.",Sentiment,0.986934528,Product,0.008924216,Comparison,0.002416686,Other,0.00172457,1
"Luckily, my wife was standing by and stopped it from fully falling on him, although she has some bruises, My grandson pointed at letters on the bottom of the screen and touched the screen to show us a letter he knew.",Sentiment,0.930533259,Product,0.042177223,Other,0.022419051,sentiment,1,"Luckily, my wife was standing by and stopped it from fully falling on him, although she has some bruises, My grandson pointed at letters on the bottom of the screen and touched the screen to show us a letter he knew.",Sentiment,0.970767159,Other,0.021586552,Comparison,0.004081478,Product,0.003564811,,"Luckily, my wife was standing by and stopped it from fully falling on him, although she has some <Feature>, My grandson pointed at letters on the bottom of the screen and touched the screen to show us a letter he knew.",Sentiment,0.957633748,Product,0.028110651,Comparison,0.008480063,Other,0.005775539,1
My wife was holding onto the edge of the screen frame to steady the TV as it appeared shaky.,Sentiment,0.716808744,Product,0.262596751,Comparison,0.011997466,sentiment,1,My wife was holding onto the edge of the screen frame to steady the TV as it appeared shaky.,Sentiment,0.965703542,Product,0.024179534,Comparison,0.005721499,Other,0.004395426,,My wife was holding onto the edge of the screen frame to steady the <Product> as it appeared shaky.,Sentiment,0.94359812,Product,0.046140341,Comparison,0.005989688,Other,0.004271851,1
It fell.,Other,0.789040875,Sentiment,0.132159416,Product,0.066501135,"sentiment, other",1,It fell.,Other,0.829720013,Sentiment,0.094915634,Product,0.062680078,Comparison,0.012684276,,It fell.,Sentiment,0.724801568,Other,0.169033049,Product,0.088494045,Comparison,0.017671338,1
